Date,Close/Last,Volume,Open,High,Low
5/7/2018,$326.26 ,7121198,$321.99 ,$329.02 ,$319.34 
5/4/2018,$320.09 ,8204203,$308.71 ,$320.98 ,$307.67 
5/3/2018,$311.69 ,6037386,$312.59 ,$312.59 ,$305.73 
5/2/2018,$313.36 ,5577613,$311.65 ,$317.10 ,$310.40 
5/1/2018,$313.30 ,6014838,$310.36 ,$313.48 ,$306.69 
4/30/2018,$312.46 ,6066764,$311.07 ,$317.88 ,$310.12 
4/27/2018,$311.76 ,7070118,$316.25 ,$317.45 ,$306.50 
4/26/2018,$313.98 ,9223707,$310.00 ,$316.63 ,$305.58 
4/25/2018,$305.76 ,14763940,$306.37 ,$309.98 ,$292.62 
4/24/2018,$307.02 ,13873450,$319.22 ,$320.25 ,$302.31 
4/23/2018,$318.69 ,8871631,$329.15 ,$331.22 ,$317.08 
4/20/2018,$327.77 ,9116941,$332.22 ,$336.51 ,$326.00 
4/19/2018,$332.70 ,8420032,$332.88 ,$335.31 ,$326.77 
4/18/2018,$334.52 ,11175190,$336.30 ,$338.82 ,$331.10 
4/17/2018,$336.06 ,33811180,$329.66 ,$338.62 ,$323.77 
4/16/2018,$307.78 ,19782250,$315.99 ,$316.10 ,$304.00 
4/13/2018,$311.65 ,12001850,$317.29 ,$317.49 ,$308.23 
4/12/2018,$309.25 ,10206660,$309.72 ,$311.13 ,$306.75 
4/11/2018,$303.67 ,14839040,$302.89 ,$311.64 ,$301.82 
4/10/2018,$298.07 ,10669840,$297.68 ,$298.95 ,$291.69 
4/9/2018,$289.93 ,9833068,$291.77 ,$299.55 ,$289.12 
4/6/2018,$288.85 ,11362890,$289.10 ,$298.85 ,$285.65 
4/5/2018,$293.97 ,10569180,$293.15 ,$299.16 ,$289.11 
4/4/2018,$288.94 ,12892670,$273.63 ,$290.31 ,$271.22 
4/3/2018,$283.67 ,12669270,$285.45 ,$291.25 ,$278.01 
4/2/2018,$280.29 ,13343310,$291.94 ,$292.87 ,$275.05 
3/29/2018,$295.35 ,19115850,$287.00 ,$295.35 ,$275.90 
3/28/2018,$285.77 ,18949520,$298.39 ,$298.80 ,$281.61 
3/27/2018,$300.69 ,12028240,$322.49 ,$322.90 ,$297.00 
3/26/2018,$320.35 ,11970640,$309.36 ,$321.03 ,$302.00 
3/23/2018,$300.94 ,9504181,$307.41 ,$310.73 ,$300.36 
